artistName,artistPop,artistGenre,artistRelated
Robin,64,"dance pop, neo soul, pop rap, r&b, urban contemporary","Justin Timberlake, CeeLo Green, Alicia Keys"
Britney Spears,83,"dance pop, pop","Kesha, Katy Perry, Gwen Stefani"
Moji x Sboy,56,"cloud rap francais, rap calme, rap liegeois","Luv Resval, J9ueve, Népal"
Drake,96,"canadian hip hop, canadian pop, hip hop, pop rap, rap","J. Cole, Ty Dolla $ign, 21 Savage"
Carbonne,65,french rap,"THEODORT, Dadi, Vacra"
Lomepal,63,"french hip hop, rap conscient","Orelsan, Nekfeu, Lujipeka"
Nekfeu,71,"french hip hop, pop urbaine, rap conscient","Damso, ""Jokair"", Josman"
David Guetta,90,"big room, dance pop, edm, pop, pop dance","Tiësto, Robin Schulz, Calvin Harris"
Kanye West,93,"chicago rap, hip hop, rap","Kendrick Lamar, A$AP Rocky, J. Cole"
King Princess,56,"alt z, indie pop, nyc pop","HAIM, Cyn, Mallrat"
Screen Jazzmaster,56,lo-fi jazzhop,"Zmeyev, Fred Paci, Phlocalyst"
Roméo Elvis,58,"belgian hip hop, french hip hop","Lomepal, Le Motel, Orelsan"
Skrillex,77,"brostep, complextro, edm, electro, pop dance","Benny Benassi, Dillon Francis, deadmau5"
Brass,31,"classic soul, disco, funk, jazz funk, p funk, post-disco, quiet storm, rare groove","B.T. Express, Kleeer, Instant Funk"
Nena,65,"german pop, new wave pop","Falco, Peter Schilling, Liquido"
Garth Stevenson,51,"contrabass, new tribe","Eskimotion, East Forest, Pete Kuzma"
Mariana Froes,52,brasilia indie,"Leo Middea, ÀVUÀ, Julio Secchin"
COLIN,55,chill house,"Nimus, nourii, SRTW"
PNL,74,"french hip hop, pop urbaine","DTF, Jul, OBOY"
Caballero & JeanJass,50,"belgian hip hop, french hip hop","Deen Burbigo, Caballero, Sneazzy"
Deen Burbigo,49,french hip hop,"Caballero & JeanJass, Caballero, ""Limsa dAulnay"""
Disiz,58,"french hip hop, rap conscient","Georgio, S-Crew, A2h"
Bekar,61,"cloud rap francais, french hip hop","Zamdane, Luv Resval, Moji x Sboy"
YG Pablo,54,"rap belge, rap calme","Doums, Nahir, JEY BROWNIE"
Krisy,52,"belgian hip hop, french hip hop, rap belge, rap calme, rap conscient","Myth Syzer, Zuukou mayzie, Moji x Sboy"
