,endTime,artistName,trackName,msPlayed
0,2023-10-20 16:33,Doja Cat,Paint The Town Red,180954
1,2023-10-22 17:59,Doja Cat,Paint The Town Red,2460
2,2023-10-22 18:02,Kenya Grace,Strangers,172964
3,2023-10-22 18:04,Tate McRae,greedy,131872
4,2023-10-22 18:06,Morgan Wallen,Last Night,153545
5,2023-10-22 18:06,Zach Bryan,I Remember Everything (feat. Kacey Musgraves),1453
6,2023-10-22 18:07,Post Malone,I Like You (A Happier Song) (with Doja Cat),4218
7,2023-10-22 18:09,Kenya Grace,Strangers,172964
8,2023-10-22 18:12,Tate McRae,greedy,131872
9,2023-10-22 18:14,Morgan Wallen,Last Night,163854
10,2023-10-22 18:18,Zach Bryan,I Remember Everything (feat. Kacey Musgraves),227195
11,2023-10-22 18:21,Post Malone,I Like You (A Happier Song) (with Doja Cat),192840
12,2023-10-22 18:27,Doja Cat,Paint The Town Red,230480
13,2023-10-22 18:30,Soolking,Casanova,189090
14,2023-10-22 18:34,Doja Cat,Paint The Town Red,231750
15,2023-10-22 18:39,Donna Summer,She Works Hard For The Money - Single Version,273906
16,2023-10-22 19:00,Sia,The Greatest (feat. Kendrick Lamar),25527
17,2023-10-22 21:09,Revisits Peeks,Guy Fawkes Night,7011
18,2023-10-22 21:09,Philipp Fabian Kölmel,Guy Fawkes Night,10034
19,2023-10-22 21:13,Divulgates Twitch,Guy Fawkes Night,3204
20,2023-10-23 08:31,Kenya Grace,Strangers,8504
21,2023-10-23 08:34,softy,At night we fly,166323
22,2023-10-23 08:37,Ambulo,Youth,144545
23,2023-10-23 08:39,brillion.,Pearlescent,177230
24,2023-10-23 08:42,Sátyr,Little Spoon,145263
25,2023-10-23 08:44,Tin.,Rust,105974
26,2023-10-23 08:47,Tonion,Pastel Memories,171176
27,2023-10-23 08:49,Team Astro,Nostalgia,150961
28,2023-10-23 08:52,Hoogway,Playing All Night,156000
29,2023-10-23 08:54,Khutko,Walk Out,153506
30,2023-10-23 08:59,brillion.,Evermore,120000
31,2023-10-23 09:02,Kinissue,No Answer,175714
32,2023-10-23 09:05,Purrple Cat,Building Dreams,181155
33,2023-10-23 09:07,Sleepermane,In Between Cycles,115979
34,2023-10-23 09:09,Sleepermane,Epsilon,122092
35,2023-10-23 09:11,Mujo,Everything Gone,113325
36,2023-10-23 09:13,Tibeauthetraveler,Fearless Love,137151
37,2023-10-23 09:16,Kinissue,Farewell,166533
38,2023-10-23 09:18,Bcalm,Comfort,138000
39,2023-10-23 09:21,DaniSogen,Iris,145381
40,2023-10-23 09:23,softy,Moonlit Tales,121846
41,2023-10-23 09:25,brillion.,Somnolence,150461
42,2023-10-23 09:27,Phlocalyst,Over The Top,136216
43,2023-10-23 09:30,Juliàn,Hope For Harmony,155409
44,2023-10-23 09:33,Nadav Cohen,Final moments,150000
45,2023-10-23 09:36,xander.,Life is Short,177600
46,2023-10-23 09:41,S N U G,Layers,147500
47,2023-10-23 09:43,Kainbeats,Staying Free,131041
48,2023-10-23 09:45,softy,A Past Far Away,144705
49,2023-10-23 09:48,slowburn,Callisto,132640
50,2023-10-23 09:51,Raimu,Opening the Box,193333
51,2023-10-23 09:53,brillion.,Moonrise,144000
