,endTime,artistName,trackName,msPlayed
0,2024-07-05 13:44,Katy Perry,California Gurls,14466
1,2024-07-05 13:46,Sister Sledge,He's the Greatest Dancer - 1995 Remaster,129683
2,2024-07-05 13:48,A$AP Rocky,Sundress,158205
3,2024-07-05 13:53,Phoenix,If I Ever Feel Better,266600
4,2024-07-05 13:57,Fleetwood Mac,Everywhere - 2017 Remaster,226653
5,2024-07-05 13:59,Dua Lipa,Dance The Night - From Barbie The Album,176579
6,2024-07-05 14:04,Foster The People,Call It What You Want,24882
7,2024-07-05 14:04,Whitney Houston,How Will I Know,275533
8,2024-07-05 14:09,George Benson,Give Me the Night,301026
9,2024-07-05 14:16,ShadowStep,Stay Live,21202
10,2024-07-05 14:16,Dua Lipa,Fever (feat. Angèle),1532
11,2024-07-05 14:16,Bee Gees,Stayin Alive,1021
12,2024-07-05 14:16,Paul Revere & The Raiders,Hungry,6385
13,2024-07-05 14:16,The Beach Boys,California Dreamin' - 2007 Digital Remaster,1137
14,2024-07-05 14:16,Sister Sledge,He's the Greatest Dancer - 1995 Remaster,375400
15,2024-07-05 14:17,Santigold,Can't Get Enough of Myself (feat. BC Unidos),63135
16,2024-07-05 14:19,Françoise Hardy,Tous les garçons et les filles - Slow,12585
17,2024-07-05 14:19,LEISURE,Slipping Away,8335
18,2024-07-05 14:19,The Monkees,I'm a Believer - 2006 Remaster,103677
19,2024-07-05 14:22,George Benson,Give Me the Night,1044
20,2024-07-05 14:22,Foster The People,Call It What You Want,905
21,2024-07-05 14:22,Wiz Khalifa,No Sleep,13015
22,2024-07-05 14:22,Françoise Hardy,Le temps de l'amour,144826
23,2024-07-05 14:22,Petit Biscuit,Problems,1160
24,2024-07-05 14:24,Sticky Fingers,How To Fly,7871
25,2024-07-05 14:24,Daryl Hall & John Oates,Out of Touch,110550
26,2024-07-05 14:24,Valentino Vivace,L'equilibrio,1602
27,2024-07-05 14:24,Dua Lipa,Levitating (feat. DaBaby),2321
28,2024-07-05 14:24,Tame Impala,Borderline,1114
29,2024-07-05 14:24,MØ,Final Song,1230
30,2024-07-05 14:24,Doja Cat,You Right,1416
31,2024-07-05 14:28,L'Impératrice,Agitations tropicales,248892
32,2024-07-05 14:29,Cigarettes After Sex,Apocalypse,36473
33,2024-07-05 14:29,Luxe Agoris,I Ain't Worried,1369
34,2024-07-05 14:32,Harry Styles,As It Was,5715
35,2024-07-05 14:32,Mac Miller,The Spins,195873
36,2024-07-05 14:36,Bob Marley & The Wailers,Is This Love,232200
37,2024-07-05 14:37,thủy,girls like me don't cry,104645
38,2024-07-05 14:38,Deep Purple,Hush - 1998 Remaster,42120
39,2024-07-05 14:38,Oasis,Listen Up,2554
40,2024-07-05 15:20,Marvin Gaye,Sexual Healing - Kygo Remix,336224
41,2024-07-05 15:23,Marvin Gaye,Sexual Healing - Kygo Remix,151957
42,2024-07-05 15:24,Mr GISCARD,H&M,22336
43,2024-07-05 15:24,jean,DISQUETTES,50282
44,2024-07-05 15:27,jean,DISQUETTES,168450
45,2024-07-05 15:29,Mr GISCARD,GOBACK,126613
46,2024-07-05 15:32,Juliette Armanet,Petite Amie,192626
47,2024-07-05 15:36,Natalia Lafourcade,Soledad y el Mar (feat. Los Macorinos),214546
48,2024-07-05 15:39,Yamê,Bécane - A COLORS SHOW,182440
49,2024-07-05 15:42,Zé Roberto,Lotus 72 D,192965
50,2024-07-05 15:45,GENER8ION,Neo Surf,200133
51,2024-07-05 15:47,Mr GISCARD,Xany,128545
52,2024-07-05 15:51,Ursa Major,'Bout Us,203377
53,2024-07-05 15:53,Favé,Urus,1130
54,2024-07-05 15:53,Mr GISCARD,H&M,874
55,2024-07-05 15:53,Mr GISCARD,Carla,155800
56,2024-07-05 15:53,Alcione,Figa De Guiné,14860
57,2024-07-05 15:53,Toco,Meu Rio,1429
58,2024-07-05 15:56,Erasmo Carlos,Gente Aberta,140426
59,2024-07-05 15:58,Favé,VIBES,134440
60,2024-07-05 16:01,Yoa,Matcha Queen,190761
61,2024-07-06 09:06,Astrud Gilberto,Água de Beber,4255
62,2024-07-06 09:07,DISCO TOI & MOI,Love Nowhere Bandit Voyage - Remix,10624
63,2024-07-06 09:07,Kungs,Quanto Tempo (with Victor Flash),8661
64,2024-07-06 09:08,Lord Funk,Bella Menina,10326
65,2024-07-06 09:08,Kungs,You Can Have It,25834
66,2024-07-06 09:31,Air,La femme d'argent,426614
67,2024-07-06 09:32,Menahan Street Band,Queens Highway,67720
68,2024-07-06 09:35,Arc De Soleil,The Thief in Marrakesh,180373
69,2024-07-06 09:37,Monster Rally,Sister Owls,113865
70,2024-07-06 09:40,Dusty Springfield,Spooky,164173
71,2024-07-06 09:44,Lou Reed,Walk On the Wild Side,254173
72,2024-07-06 09:49,Metronomy,The Look,277653
73,2024-07-06 09:51,Poni Hoax,Tropical Suite: São Paulo,126972
74,2024-07-06 09:55,Arc De Soleil,Got Caught in Amsterdam,170903
75,2024-07-06 09:57,The Quantic Soul Orchestra,Father,142800
76,2024-07-06 09:59,Menahan Street Band,The Traitor,88461
77,2024-07-06 10:02,Piero Umiliani,Lady Magnolia,206708
78,2024-07-06 10:06,Air,Playground Love,211500
79,2024-07-06 10:08,Massive Attack,Teardrop,141653
80,2024-07-06 10:08,Tame Impala,No Choice,1690
81,2024-07-06 10:08,Victorius Black,Les Grues De Nantes - Lord Funk Remix,58859
82,2024-07-06 10:08,Wham!,Club Tropicana,14310
83,2024-07-06 10:12,Wham!,Club Tropicana,225645
84,2024-07-06 10:13,DJ Robin,Layla,1021
85,2024-07-06 10:13,Major Lazer,Cold Water (feat. Justin Bieber & MØ),69704
86,2024-07-06 10:13,Sister Sledge,He's the Greatest Dancer - 1995 Remaster,5363
87,2024-07-06 10:18,Sister Sledge,Thinking of You - 1995 Remaster,266826
88,2024-07-06 10:22,KC & The Sunshine Band,Give It Up,254240
89,2024-07-06 10:22,Sister Sledge,Lost in Music - 1995 Remaster,20524
90,2024-07-06 10:26,Supertramp,Hide In Your Shell,252424
91,2024-07-06 10:32,Supertramp,Goodbye Stranger - 2010 Remastered,350573
92,2024-07-06 10:35,Dusty Springfield,Spooky,3694
93,2024-07-06 10:35,Elton John,Goodbye Yellow Brick Road - Remastered 2014,192826
94,2024-07-06 10:38,Juliette Armanet,L’Épine,178208
95,2024-07-06 10:42,The Beach Boys,Good Vibrations - Remastered 2001,219026
96,2024-07-06 10:45,Lou Reed,Charley's Girl,159093
97,2024-07-06 10:48,The Alan Parsons Project,I Wouldn't Want to Be Like You,203346
98,2024-07-06 13:02,Genesis,Mad Man Moon - 2007 Remaster,369041
99,2024-07-06 13:04,The Beach Boys,Wouldn't It Be Nice,153240
100,2024-07-06 13:08,Adele,Chasing Pavements,210506
101,2024-07-06 13:11,Juliette Armanet,La Nuit,201773
102,2024-07-06 13:14,Juliette Armanet,J'te l'donne,187280
103,2024-07-06 13:19,Elton John,Don't Go Breaking My Heart,275440
104,2024-07-06 13:22,Sixpence None The Richer,Kiss Me,208680
105,2024-07-06 13:26,Elton John,Your Song,241786
106,2024-07-06 13:38,New Order,Blue Monday,288753
107,2024-07-06 13:42,Juliette Armanet,Petite Amie,192626
108,2024-07-06 13:47,The Alan Parsons Project,Eye In The Sky,276280
109,2024-07-06 13:49,10cc,I'm Not In Love,120104
110,2024-07-06 13:53,Tears For Fears,Everybody Wants To Rule The World,251488
111,2024-07-06 13:54,Electric Light Orchestra,Mr. Blue Sky,810
112,2024-07-06 13:54,The Korgis,Everybody's Got To Learn Sometime,1898
113,2024-07-06 13:54,The Mamas & The Papas,California Dreamin',81075
114,2024-07-06 13:58,Bee Gees,How Deep Is Your Love,245200
115,2024-07-06 14:03,Elton John,"Rocket Man (I Think It's Going To Be A Long, Long Time)",281613
116,2024-07-06 14:06,Lesley Gore,You Don't Own Me,150000
117,2024-07-06 14:17,Supertramp,Hide In Your Shell,192728
118,2024-07-06 19:39,Kungs,Lipstick - Victor Flash Remix,1749
119,2024-07-06 19:39,Victor Flash,Autopilot,6891
120,2024-07-07 09:33,Victor Flash,OK,5376
121,2024-07-07 09:46,The Walters,I Love You So,126378
122,2024-07-07 09:46,Zucchero,Overdose D'Amore 2024,9024
123,2024-07-07 09:47,Zucchero,Senza Una Donna,40021
124,2024-07-07 09:49,Zucchero,Baila Morena,58261
125,2024-07-07 09:50,Piero Umiliani,Lady Magnolia,6805
126,2024-07-07 10:15,Yoa,Matcha Queen,154133
127,2024-07-07 10:17,Yoa,Matcha Queen,35765
128,2024-07-07 10:17,Spider ZED,Prends le bien,1823
129,2024-07-07 12:08,Spider ZED,Prends le bien,125535
130,2024-07-07 12:10,jean,DISQUETTES,119795
131,2024-07-07 12:14,Sister Sledge,Thinking of You - 1995 Remaster,266826
132,2024-07-07 12:20,Sister Sledge,He's the Greatest Dancer - 1995 Remaster,345228
133,2024-07-07 12:21,The Strokes,What Ever Happened?,14280
134,2024-07-07 12:21,Paul Revere & The Raiders,Good Thing,5387
135,2024-07-07 12:21,Sister Sledge,Lost in Music - 1995 Remaster,21217
136,2024-07-07 12:24,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,158040
137,2024-07-07 12:27,a-ha,Take on Me,149407
138,2024-07-07 12:35,Valentino Vivace,L'equilibrio,487945
139,2024-07-07 12:39,Whitney Houston,How Will I Know,275533
140,2024-07-07 12:42,King Harvest,Dancing In The Moonlight,178045
141,2024-07-07 12:47,George Benson,Give Me the Night,301026
142,2024-07-07 12:50,Ricchi E Poveri,Sarà perché ti amo,190693
143,2024-07-07 12:54,Lily Allen,Fuck You,219893
144,2024-07-07 12:58,Fleetwood Mac,Everywhere - 2017 Remaster,226653
145,2024-07-07 13:02,Lana Del Rey,Summertime Sadness,264773
146,2024-07-07 13:06,Phoenix,If I Ever Feel Better,266600
147,2024-07-07 13:11,Valentino Vivace,Vieni con me,278723
148,2024-07-07 13:12,Whitney Houston,How Will I Know,83793
149,2024-07-07 13:13,ABBA,Gimme! Gimme! Gimme! (A Man After Midnight),719
150,2024-07-07 13:13,Harry Styles,As It Was,1091
151,2024-07-07 13:13,Billie Eilish,hotline (edit),2298
152,2024-07-07 13:13,MIKA,"Relax, Take It Easy",696
153,2024-07-07 13:13,Doja Cat,You Right,719
154,2024-07-07 13:13,The Notorious B.I.G.,Juicy - Remix; 2014 Remaster,28142
155,2024-07-07 13:17,MIKA,"Relax, Take It Easy",270000
156,2024-07-07 13:22,MIKA,Big Girl (You Are Beautiful),248000
157,2024-07-07 13:23,Doja Cat,You Right,23103
158,2024-07-07 13:26,MIKA,Rain,223746
159,2024-07-07 13:29,Mega Mango,Blurt,133989
160,2024-07-07 13:32,Beyoncé,CUFF IT,225388
161,2024-07-07 13:44,LEISURE,Slipping Away,120581
162,2024-07-07 13:46,Mr GISCARD,Xany,128546
163,2024-07-07 13:49,GENER8ION,Neo Surf,200133
164,2024-07-07 13:52,Joseph Kamel,Beau (feat. Julien Doré),6699
165,2024-07-07 13:52,Juliette Armanet,Petite Amie,159893
166,2024-07-07 13:53,Mulah,Prosper,17899
167,2024-07-07 13:53,Joseph Kamel,Celui qui part,52287
168,2024-07-07 13:54,Ozadya,VEM,5547
169,2024-07-07 13:54,Ozadya,Intro,7446
170,2024-07-07 13:54,Ozadya,Full Moon,1813
171,2024-07-07 13:54,Ozadya,Fly Mode,4630
172,2024-07-07 13:54,Ozadya,Waves,27925
173,2024-07-07 13:54,Ozadya,Waves,2538
174,2024-07-07 13:55,CRYSTALLMESS,Just Because It's a Funeral Doesn't Mean We Can't Rave,22314
175,2024-07-07 13:55,CRYSTALLMESS,Issa Revenge,7402
176,2024-07-07 13:55,Ozadya,Ellas,30528
177,2024-07-07 13:58,Oh Lorena,Abundância,7765
178,2024-07-07 14:01,Erasmo Carlos,Gente Aberta,140426
179,2024-07-07 14:04,Mr GISCARD,H&M,188773
180,2024-07-07 14:06,Mr GISCARD,Xany,128546
181,2024-07-07 14:09,Ursa Major,'Bout Us,203377
182,2024-07-07 14:12,Juliette Armanet,Petite Amie,192626
183,2024-07-07 14:15,Favé,Urus,147788
184,2024-07-07 14:17,Mr GISCARD,Carla,155800
185,2024-07-07 14:19,Natalia Lafourcade,Soledad y el Mar (feat. Los Macorinos),80945
186,2024-07-07 17:13,Kimi Duplizzle,Misunderstood,153872
187,2024-07-07 17:15,Evinha,Esperar Pra Ver,128903
188,2024-07-07 17:18,Yoa,Matcha Queen,190761
189,2024-07-07 17:21,GENER8ION,Neo Surf,200133
190,2024-07-07 17:24,Evinha,Que Bandeira,149420
191,2024-07-07 17:26,La Femme,Tatiana,163506
192,2024-07-07 17:30,Juliette Armanet,L'Indien,211573
193,2024-07-07 17:33,jean,DISQUETTES,168450
194,2024-07-07 17:35,Mina,Città vuota,158000
195,2024-07-07 17:37,Mr GISCARD,GOBACK,126613
196,2024-07-07 17:40,Juliette Armanet,L’amour en Solitaire,175226
197,2024-07-07 17:44,Elis Regina,Águas De Março,214003
