,endTime,artistName,trackName,msPlayed
0,2023-10-20 06:23,aupinard,introdução,91498
1,2023-10-20 06:24,aupinard,c'est tout moi,89596
2,2023-10-20 06:28,aupinard,tous les jours,186215
3,2023-10-20 06:30,aupinard,sois en sûre,173286
4,2023-10-20 06:32,aupinard,jeu pour enfant,117217
5,2023-10-20 06:35,aupinard,texto,142429
6,2023-10-20 06:37,aupinard,Brasilia,146102
7,2023-10-20 06:39,Disiz,C'EST LE LOVE MAGUEULE,100666
8,2023-10-20 06:42,LYNN,Contresens,171891
9,2023-10-20 06:44,Myra,SUR LE COEUR,155368
10,2023-10-20 06:46,Gen,No Rnb,87406
11,2023-10-20 07:09,Le Dé,Espace temps,265868
12,2023-10-20 07:11,PRIME,DE BASE,139239
13,2023-10-20 08:38,aupinard,introdução,85
14,2023-10-20 08:38,Disiz,BEAUGARÇONNE,138750
15,2023-10-20 08:39,aupinard,introdução,91498
16,2023-10-20 08:43,aupinard,Brasilia,146102
17,2023-10-20 08:44,aupinard,c'est tout moi,68412
18,2023-10-20 21:22,aupinard,introdução,10167
19,2023-10-20 21:22,aupinard,c'est tout moi,89596
20,2023-10-20 21:24,aupinard,jeu pour enfant,117217
21,2023-10-20 21:28,aupinard,tous les jours,186215
22,2023-10-20 21:30,aupinard,Brasilia,146102
23,2023-10-20 21:33,aupinard,sois en sûre,173286
24,2023-10-20 21:35,aupinard,texto,142429
25,2023-10-20 21:36,Zuukou mayzie,Je t'aime si je peux (Interlude),70178
26,2023-10-20 21:39,LYNN,Rêve Eveillé,166736
27,2023-10-20 21:41,Disiz,C'EST LE LOVE MAGUEULE,100666
28,2023-10-20 21:42,Alkakris,Bonjour,93571
29,2023-10-20 21:45,Myra,SUR LE COEUR,155368
30,2023-10-20 21:47,Gen,No Rnb,87406
31,2023-10-20 21:48,aupinard,j'ai encore rêvé d'elle,83009
32,2023-10-20 21:50,LYNN,Tes petites fesses,110200
33,2023-10-20 21:53,Disiz,TUE L'AMOUR,173493
34,2023-10-20 21:54,Ryan Koffi,Tristesse Business,103359
35,2023-10-20 21:57,Myra,Câlins Collés,172800
36,2023-10-20 21:59,YG Pablo,Ascenseur,112720
37,2023-10-20 22:01,Primero,Fragments,128300
38,2023-10-21 08:26,Primero,Fragments,9476
39,2023-10-21 08:28,aupinard,quel type de vibe?,116435
40,2023-10-21 08:30,Disiz,ALL IN,146906
41,2023-10-21 08:36,LYNN,Qu'en est-il ?,123514
42,2023-10-21 08:37,$.DROP,Without Hate,72674
43,2023-10-21 08:40,Myra,Pom Pom,155151
44,2023-10-21 08:42,1863,Gogo Gadget,126750
45,2023-10-21 08:44,Keroué,100K,138671
46,2023-10-21 08:45,aupinard,bossa nova,66500
47,2023-11-02 08:33,Cyan_95,landscape,78200
48,2023-11-02 08:35,Drive,Dedication,83546
49,2023-11-02 08:36,Redmoo,Paulie Walnut,108131
50,2023-11-02 08:38,Geometrical,Check-Out Time,91747
51,2023-11-02 08:41,Zonyo,L.B.H.U,193472
52,2023-11-02 08:45,Breakfast For Brunch,Iron Pan Love,117413
53,2023-11-02 08:47,beauBAE,Artificial,120304
54,2023-11-02 08:50,Tigerpalm*Bay,Tiger Tales (of the Concrete Jungle),161404
55,2023-11-02 08:52,This Is Moving,Someday,107526
56,2023-11-02 09:21,Ryu Riders,Let’s back that up,64133
57,2023-11-02 19:54,Vacra,Tiki Taka,9600
58,2023-11-04 14:59,Diplo,Heartbroken (feat. Jessie Murph & Polo G),2218
59,2023-11-04 14:59,Jessie Murph,Wild Ones (feat. Jelly Roll),4032
60,2023-11-04 14:59,Vacra,Tiki Taka,13802
61,2023-11-05 16:22,Ryu Riders,Let’s back that up,55319
62,2023-11-05 16:24,lo.a.pauly,soothing slow,100725
63,2023-11-05 16:26,Party Of Six,Strike Soft Strike Slow,103077
64,2023-11-05 16:28,Flying Animal,This is Amsterdam,102843
65,2023-11-05 16:29,Behind Clouds,wonderland,104031
66,2023-11-05 16:32,Spike Radio,Osmo,143583
67,2023-11-05 16:34,Speezhead,Grass and River,142281
68,2023-11-05 16:35,SanelliX,Aesthetic Sunset,80660
69,2023-11-05 16:37,W8lss,Beauty,97413
70,2023-11-05 16:39,Ree Vozz,dear,154019
71,2023-11-05 16:41,Komorebi,Dai jobu desu,123199
72,2023-11-05 16:44,Zatsuma,zodiac,130420
73,2023-11-05 16:46,PONY,Camden,142309
74,2023-11-05 16:48,Cal Credence,Lush,141041
75,2023-11-05 16:51,Cyan_95,Timeline,143842
76,2023-11-05 16:56,Sid Southside,Birds in a Tree,300219
77,2023-11-05 16:57,Drive,Dedication,83481
78,2023-11-05 16:59,Samu Rai,miss u,121464
79,2023-11-05 17:00,Avenue Arts,no rain today,67876
80,2023-11-05 17:02,Lab Progression,Yesterday's Tomorrow,125478
81,2023-11-05 17:04,HÖNS,Tear Me Apart,103357
82,2023-11-05 17:07,Jolly Jordan,On my mind,169580
83,2023-11-05 17:09,Montreux Stay-Behinds,lo degradation,131501
84,2023-11-05 17:11,Yedai,are you still awake?,113606
85,2023-11-05 17:12,Twinkz,undefined,91681
86,2023-11-05 17:15,dusty dexter,Fresh Tires,137005
87,2023-11-05 17:16,Injustice,Road to Skate,99842
88,2023-11-05 17:18,Rez Tiller,Mothers,105062
89,2023-11-05 17:20,Lil Gromit,Gas Station Oasis,111940
90,2023-11-05 17:22,fly_by_wire,city lights,129501
91,2023-11-05 17:24,Perpetual Machine,raised by a pear,125836
92,2023-11-05 17:26,Guustavv,Vitalization,108079
93,2023-11-05 17:28,ohlos,Newfoundland,133187
94,2023-11-05 17:30,Juliette,Memories & Notes,97176
95,2023-11-05 17:31,sunala.,Loose Changes,112880
96,2023-11-05 21:46,BENNETT,Vois sur ton chemin - Techno Mix,7829
97,2023-11-05 21:46,André Rieu,Voilà,362
98,2023-11-05 21:53,Barbara Pravi,Voilà,54784
99,2023-11-05 22:00,galaxx,Singing In The Sun,48738
100,2023-11-06 07:37,Barbara Pravi,Voilà,69
101,2023-11-06 07:40,Nemir,Chica,181701
102,2023-11-06 07:40,Zuukou mayzie,Je t'aime si je peux (Interlude),13496
103,2023-11-06 07:43,YG Pablo,AVM,159468
104,2023-11-06 07:48,Nekfeu,Elle pleut,286520
105,2023-11-06 07:52,Le Dé,Espace temps,257574
106,2023-11-06 07:52,Columbine,"Pierre, feuille, papier, ciseaux",3227
107,2023-11-06 07:56,Deen Burbigo,BNB,207126
108,2023-11-06 07:57,Krisy,AU CLUB,108805
109,2023-11-06 08:00,Népal,Cheddar,7353
110,2023-11-06 08:00,Nemir,Doucement,171007
111,2023-11-06 08:00,Tsew The Kid,Sur ton corps,2647
112,2023-11-06 08:03,Nemir,Sur ma vie,169259
113,2023-11-06 08:06,Alpha Wann,R5 et Murcielago,174542
114,2023-11-06 22:30,Tsew The Kid,Cigarette,161851
115,2023-11-06 22:33,Nemir,Sur ma vie,169259
116,2023-11-06 22:36,Zuukou mayzie,Vincent,166153
117,2023-11-06 22:40,Nekfeu,Princesse,265706
118,2023-11-06 22:44,Népal,Crossfader,197227
119,2023-11-06 22:47,Jazzy Bazz,Éternité,206920
120,2023-11-06 22:50,Vacra,Souvenirs,190937
121,2023-11-06 22:53,Krisy,C'EST UN MOOD,156923
122,2023-11-06 22:57,Almeria,Make It (feat. Nemir & Di-Meh & Gracy Hopkins),236120
123,2023-11-06 23:00,Alpha Wann,CASCADE - Remix,211213
124,2023-11-06 23:04,Nekfeu,Ken Kaneki,162960
125,2023-11-06 23:07,Népal,Kodak White,200727
126,2023-11-06 23:09,Nemir,Des heures,95182
127,2023-11-07 09:40,Krisy,Erotiquement votre,1300
128,2023-11-07 09:43,Nemir,Des heures,152174
129,2023-11-07 09:46,Krisy,Erotiquement votre,176538
130,2023-11-07 10:23,Nemir,Parallèle,185353
131,2023-11-07 10:26,Tsew The Kid,Sur ton corps,188685
132,2023-11-07 10:29,Squeezie,Guépard,160120
133,2023-11-07 10:33,Népal,Sundance,170646
134,2023-11-07 10:37,Ashh,Motel,241352
135,2023-11-07 10:40,Grems,Gens du passage,164093
136,2023-11-07 10:43,Krisy,Julio & sa gogo danseuse,183813
137,2023-11-07 10:47,Nemir,Ça sert,220837
138,2023-11-07 10:51,Nekfeu,Compte les hommes,250946
139,2023-11-07 10:54,PRIME,J'aime pas l'amour,160052
140,2023-11-07 10:56,Népal,Malik al mawt,131933
141,2023-11-07 10:57,Nemir,Check,79135
142,2023-11-07 15:13,Alpha Wann,STUPÉFIANT ET NOIR,189440
143,2023-11-07 15:16,Nemir,Vibes,204985
144,2023-11-07 15:17,MZ,Les princes (feat. Nekfeu),54553
145,2023-11-07 15:21,Nekfeu,Le regard des gens,208946
146,2023-11-07 15:24,Népal,En face,213694
147,2023-11-07 15:27,KIK,La défaite,173520
148,2023-11-07 15:30,Deen Burbigo,IMMUNITÉ DIPLOMATIQUE,163932
149,2023-11-07 15:35,Alpha Wann,philly flingo,173760
150,2023-11-07 15:40,Nemir,Elle m'a eu,311213
151,2023-11-07 15:43,Krisy,Jeune Julio,203910
152,2023-11-07 15:47,Lomepal,Mômes,176800
153,2023-11-07 15:48,Népal,Rien d'spécial,66486
154,2023-11-07 16:30,Népal,Rien d'spécial,91576
155,2023-11-07 16:30,Smoke Room Quartet,Soul Mates,320
156,2023-11-07 16:52,Blue Bag,sleepy hat,159374
157,2023-11-07 17:05,Larry Dee,Newport,141796
158,2023-11-07 17:08,Melatone,Jonde,157679
159,2023-11-07 17:10,chill.farm,high downforce,126340
160,2023-11-07 17:12,Mama Aiuto,Air Castles,106406
161,2023-11-07 17:14,Intel Music,When You're In Love,130294
162,2023-11-08 08:42,Sorai,blurred,109218
163,2023-11-08 08:45,Stacy Bridge,visions,138476
164,2023-11-08 08:47,Hammocks & Lime,Bar Breeze,134495
165,2023-11-08 08:48,Somebody's Son,Humble Thoughts,85685
166,2023-11-08 08:50,Breakfast For Brunch,Pineapple Buddies,113994
