name,genres,popularity,related_artists
SyKo,"['glitchcore', 'sped up']",59,"['hoshie star', 'siouxxie sixxsta', 'ElyOtto']"
Kevinhilfiger,['glitchcore'],27,"['Kite', 'Wido', 'Xul']"
boygenius,"['indie pop', 'pov: indie']",67,"['Lucy Dacus', 'Phoebe Bridgers', 'Leith Ross']"
The Offspring,"['alternative metal', 'permanent wave', 'post-grunge', 'punk', 'rock', 'skate punk', 'socal pop punk']",79,"['Green Day', 'Sum 41', 'Alien Ant Farm']"
Blue Öyster Cult,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'progressive rock', 'rock']",65,"['Led Zeppelin', 'Cream', 'The Who']"
Johnny Cash,"['arkansas country', 'outlaw country', 'rock']",76,"['Willie Nelson', 'The Highwaymen', 'June Carter Cash']"
Cutting Crew,"['album rock', 'new romantic', 'new wave', 'new wave pop', 'soft rock']",64,"['Michael Sembello', 'TOTO', 'a-ha']"
Bill Medley,['soft rock'],59,"['Jennifer Warnes', 'Eric Carmen', 'Patrick Swayze']"
Britney Spears,"['dance pop', 'pop']",83,"['Kesha', 'Katy Perry', 'Gwen Stefani']"
Taylor Swift,['pop'],100,"['Olivia Rodrigo', 'Troye Sivan', 'Sabrina Carpenter']"
Holliday Howe,['bubblegum bass'],20,"['Father Koi', 'Sev Archer', 'Petal Supply']"
Luke Combs,"['contemporary country', 'country']",87,"['Morgan Wallen', 'Bailey Zimmerman', 'Jordan Davis']"
Kim Petras,"['alt z', 'dance pop', 'pop', 'transpop']",76,"['Dua Lipa', 'Coi Leray', 'Elley Duhé']"
Fairys,['midwest shoegaze'],17,"['Daisy Chain', 'Flying Squid', 'Lean Tee']"
Bowling For Soup,"['neon pop punk', 'pop punk', 'pop rock', 'texas pop punk']",63,"['The All-American Rejects', 'Good Charlotte', 'American Hi-Fi']"
Charli xcx,"['art pop', 'candy pop', 'metropopolis', 'pop', 'uk pop']",90,"['Chappell Roan', 'Addison Rae', 'A. G. Cook']"
8485,"['glitchcore', 'hyperpop']",45,"['blackwinterwells', 'kmoe', 'SEBii']"
Addison Rae,['social media pop'],75,"['Sabrina Carpenter', 'Charli xcx', 'Chappell Roan']"
Money Man,"['memphis hip hop', 'southern hip hop', 'trap']",69,"['42 Dugg', 'G Herbo', 'EST Gee']"
Vincent Neil Emerson,"['alternative country', 'roots americana', 'southern americana']",45,"['Summer Dean', 'Luke Bell', 'John R. Miller']"
Title Fight,"['dreamo', 'emo', 'grungegaze', 'spacegrunge', 'zoomergaze']",65,"['Fleshwater', 'Basement', 'Whirr']"
Zach Bryan,['classic oklahoma country'],91,"['The War And Treaty', 'Dylan Gossett', 'Sam Barber']"
jnhygs,"['krushclub', 'sigilkore']",68,"['Lumi Athena', 'cade clair', '9lives']"
Fijimar,['scenecore'],26,"['emorave', '5v', 'keyblayde808']"
Matchbox Twenty,"['neo mellow', 'pop rock', 'post-grunge']",69,"['Sister Hazel', 'Hootie & The Blowfish', 'Third Eye Blind']"
caro♡,"['bubblegum bass', 'hyperpop']",28,"['Himera', 'Golin', 'Planet 1999']"
Heidi Montag,['pink noise'],54,"['Lilithzplug', 'Britney Manson', 'K3NT4!']"
Fetty Wap,"['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",71,"['Rae Sremmurd', 'Migos', 'DJ Khaled']"
