name,genres,popularity,related_artists
Bellaire,['jazz house'],51,"['Coeo', 'Folamour', 'Afro Medusa']"
Ursa Major,['indie pop'],19,"['Alora Farenweh', 'Condifiction', 'ButterscotchBread']"
Peggy Gou,"['electra', 'float house']",68,"['Abel Balder', 'ANOTR', 'Kah-Lo']"
Otis Redding,"['classic soul', 'memphis soul', 'soul', 'soul blues', 'southern soul', 'vocal jazz']",72,"['Sam Cooke', 'Bill Withers', 'Al Green']"
Britney Spears,"['dance pop', 'pop']",83,"['Kesha', 'Katy Perry', 'Gwen Stefani']"
Favé,"['drill francais', 'pop urbaine', 'rap francais']",67,"['Kerchak', 'Zola', 'Gazo']"
Noriel Vilela,['bossa nova'],36,"['Os Originais Do Samba', 'Wilson Simonal', 'Di Melo']"
One Direction,"['boy band', 'pop', 'post-teen pop', 'talent show']",90,"['The Vamps', 'Shawn Mendes', 'Justin Bieber']"
Kaaris,"['drill francais', 'french hip hop', 'pop urbaine', 'rap francais', 'trap antillais']",66,"['Booba', 'SCH', 'Kalash Criminel']"
Bruno Mars,"['dance pop', 'pop']",95,"['Maroon 5', 'Lady Gaga', 'Justin Bieber']"
Charli xcx,"['art pop', 'candy pop', 'metropopolis', 'pop', 'uk pop']",90,"['Chappell Roan', 'Addison Rae', 'A. G. Cook']"
Aya Nakamura,"['basshall', 'pop urbaine', 'r&b francais']",72,"['Dadju', 'Tayc', 'Imen Es']"
Naps,"['french hip hop', 'pop urbaine', 'rap marseille']",71,"['Alonzo', 'Jul', 'Soso Maness']"
Ariana Grande,['pop'],92,"['Camila Cabello', 'Madison Beer', 'Selena Gomez']"
Damso,"['belgian hip hop', 'french hip hop', 'pop urbaine', 'r&b francais', 'rap belge', 'rap conscient']",74,"['Josman', 'Dinos', 'Laylow']"
Pink Floyd,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']",80,"['Led Zeppelin', 'The Doors', 'David Bowie']"
Ziv Zaifman,['show tunes'],58,"['Michelle Williams', 'The Greatest Showman Ensemble', 'Zac Efron']"
beabadoobee,"['bedroom pop', 'bubblegrunge', 'indie pop', 'pov: indie']",81,"['Clairo', 'Laufey', 'Faye Webster']"
João Donato,"['bossa nova', 'brazilian jazz', 'piano mpb']",52,"['Quarteto Jobim-Morelenbaum', 'The Ipanemas', 'Luiz Bonfá']"
Coldplay,"['permanent wave', 'pop']",92,"['Keane', 'Adele', 'Ed Sheeran']"
Etta James,"['jazz blues', 'soul', 'soul blues', 'torch song', 'vocal jazz']",72,"['Nina Simone', 'Al Green', 'Otis Redding']"
Toquinho,"['bossa nova', 'mpb', 'samba', 'violao']",63,"['Vinícius de Moraes', 'Elis Regina', 'Chico Buarque']"
Juliette Armanet,"['chanson', 'electro-pop francais', 'french indie pop', 'french pop', 'nouvelle chanson francaise']",56,"['Clara Luciani', 'Izïa', 'Julien Doré']"
Varnish La Piscine,['swiss hip hop'],37,"['Makala', 'Rico TK', 'Enchantée Julia']"
Beyoncé,"['pop', 'r&b']",87,"['Rihanna', ""Destiny's Child"", 'Nicki Minaj']"
Zola,"['art pop', 'dark pop', 'grave wave', 'metropopolis', 'neo-synthpop', 'noise pop', 'spectra']",38,"['Exitmusic', 'Fear of Men', 'Lydia Ainsworth']"
"Tyler, The Creator","['hip hop', 'rap']",88,"['Childish Gambino', 'Steve Lacy', 'Kendrick Lamar']"
Lizzo,"['escape room', 'minnesota hip hop', 'pop', 'trap queen']",70,"['Dua Lipa', 'Mark Ronson', 'Miley Cyrus']"
Mayra Andrade,"['afropop', 'morna']",54,"['Bonga', 'Cesária Evora', 'Fatoumata Diawara']"
LF SYSTEM,['uk dance'],64,"['Eliza Rose', 'Tom Santa', 'Interplanetary Criminal']"
TOTO,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",77,"['The Police', 'Foreigner', 'Journey']"
Kali Uchis,['colombian pop'],85,"['Steve Lacy', 'SZA', 'Doja Cat']"
L'Impératrice,"['french indie pop', 'french indietronica', 'french synthpop']",65,"['Lewis OfMan', 'Parcels', 'Miel De Montagne']"
Clio,"['french synthpop', 'nouvelle chanson francaise']",49,"['Iliona', 'Voyou', 'Coline Rio']"
ascendant vierge,['electro-pop francais'],47,"['Evil Grimace', 'Le Wanski', 'Contrefaçon']"
Marvin Gaye,"['classic soul', 'motown', 'neo soul', 'northern soul', 'quiet storm', 'soul']",76,"['Stevie Wonder', 'Bill Withers', 'Tammi Terrell']"
Bill Withers,"['classic soul', 'funk', 'quiet storm', 'soul']",75,"['Marvin Gaye', 'Otis Redding', 'Al Green']"
Sevdaliza,"['alternative r&b', 'persian electronic']",77,"['Yseult', 'Pabllo Vittar', 'Lady Gaga']"
Therapie TAXI,"['french indie pop', 'french pop', 'french rock', 'new french touch']",61,"['Eddy de Pretto', 'Hoshi', 'BB Brunes']"
Empire Of The Sun,"['australian dance', 'australian electropop', 'dance rock', 'indietronica', 'neo-synthpop']",77,"['The Temper Trap', 'MGMT', 'Tame Impala']"
Meghan Trainor,"['hip pop', 'pop']",80,"['Miley Cyrus', 'Jessie J', 'Katy Perry']"
Air,"['ambient pop', 'downtempo', 'electronica', 'indietronica', 'trip hop']",64,"['Massive Attack', 'Portishead', 'Beth Hirsch']"
Mariah Carey,"['dance pop', 'pop', 'urban contemporary']",80,"['Alicia Keys', ""Destiny's Child"", 'USHER']"
Jungle,"['indie soul', 'uk contemporary r&b']",76,"['Channel Tres', 'NEIL FRANCES', 'Parcels']"
Smash Mouth,"['pop rock', 'post-grunge']",68,"['Blue Swede', 'Chumbawamba', 'Björn Skifs']"
Møme,"['new french touch', 'nice indie']",52,"['Ricky Ducati', 'Moi Je', 'Sonny Alven']"
Kim Petras,"['alt z', 'dance pop', 'pop', 'transpop']",76,"['Dua Lipa', 'Coi Leray', 'Elley Duhé']"
Gilbert O'Sullivan,"['bubblegum pop', 'soft rock']",58,"['B.J. Thomas', 'John Lennon', 'Bee Gees']"
Jul,"['banda', 'musica mexicana', 'norteno', 'sad sierreno']",84,"['Grupo Firme', 'Alfredo Olivas', 'Banda MS de Sergio Lizárraga']"
Cults,"['experimental pop', 'indie surf', 'pov: indie']",73,"['Eyedress', 'Roar', 'The Neighbourhood']"
Nico & Vinz,['afrobeats'],63,"['OMI', 'Mike Posner', 'R. City']"
Alkpote,"['french hip hop', 'pop urbaine', 'rap francais']",48,"['Guizmo', 'Seth Gueko', 'Caballero & JeanJass']"
Niska,"['french hip hop', 'pop urbaine', 'r&b francais']",74,"['Ninho', 'Koba LaD', 'Gradur']"
Videoclub,"['french indie pop', 'french synthpop']",65,"['Mattyeux', 'Adèle Castillon', 'Vendredi sur Mer']"
Véronique Sanson,['chanson'],56,"['Michel Berger', 'Alain Souchon', 'France Gall']"
Nicki Minaj,"['hip pop', 'pop', 'queens hip hop', 'rap']",87,"['Rihanna', 'Cardi B', 'Beyoncé']"
ABBA,"['europop', 'swedish pop']",82,"['Bonnie Tyler', 'Wham!', 'Elton John']"
Polo & Pan,"['dark disco', 'electro-pop francais', 'french indietronica']",62,"['Kid Francescoli', 'Kazy Lambist', ""L'Impératrice""]"
Real McCoy,"['diva house', 'eurodance', 'german techno', 'hip house']",56,"['Amber', 'No Mercy', 'SNAP!']"
Gilberto Gil,"['bossa nova', 'mpb', 'samba', 'tropicalia', 'violao']",67,"['Djavan', 'Caetano Veloso', 'Tim Maia']"
João Gilberto,"['bossa nova', 'brazilian jazz', 'cool jazz', 'jazz guitar', 'samba', 'violao']",65,"['Antônio Carlos Jobim', 'Luiz Bonfá', 'Astrud Gilberto']"
Lenny Kravitz,"['permanent wave', 'rock']",73,"['The Police', 'U2', 'INXS']"
Michel Berger,['chanson'],54,"['Daniel Balavoine', 'Véronique Sanson', 'Alain Souchon']"
Lewis OfMan,"['french indie pop', 'french indietronica']",52,"[""L'Impératrice"", 'Miel De Montagne', 'Paradis']"
