"name","genres","popularity","related_artists"
"Britney Spears","['dance pop', 'pop']",83,"['Kesha', 'Katy Perry', 'Gwen Stefani']"
"Robin","['dance pop', 'neo soul', 'pop rap', 'r&b', 'urban contemporary']",64,"['Justin Timberlake', 'CeeLo Green', 'Alicia Keys']"
"Moji x Sboy","['cloud rap francais', 'rap calme', 'rap liegeois']",56,"['Luv Resval', 'J9ueve', 'Népal']"
"Drake","['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",96,"['J. Cole', 'Ty Dolla $ign', '21 Savage']"
"Lomepal","['french hip hop', 'rap conscient']",63,"['Orelsan', 'Nekfeu', 'Lujipeka']"
"King Princess","['alt z', 'indie pop', 'nyc pop']",56,"['HAIM', 'Cyn', 'Mallrat']"
"Nekfeu","['french hip hop', 'pop urbaine', 'rap conscient']",71,"['Damso', ""Jok'air"", 'Josman']"
"Kanye West","['chicago rap', 'hip hop', 'rap']",93,"['Kendrick Lamar', 'A$AP Rocky', 'J. Cole']"
"David Guetta","['big room', 'dance pop', 'edm', 'pop', 'pop dance']",90,"['Tiësto', 'Robin Schulz', 'Calvin Harris']"
"Roméo Elvis","['belgian hip hop', 'french hip hop']",58,"['Lomepal', 'Le Motel', 'Orelsan']"
"Skrillex","['brostep', 'complextro', 'edm', 'electro', 'pop dance']",77,"['Benny Benassi', 'Dillon Francis', 'deadmau5']"
"Screen Jazzmaster","['lo-fi jazzhop']",56,"['Zmeyev', 'Fred Paci', 'Phlocalyst']"
"Brass","['classic soul', 'disco', 'funk', 'jazz funk', 'p funk', 'post-disco', 'quiet storm', 'rare groove']",31,"['B.T. Express', 'Kleeer', 'Instant Funk']"
"COLIN","['chill house']",55,"['Nimus', 'nourii', 'SRTW']"
"Nena","['german pop', 'new wave pop']",65,"['Falco', 'Peter Schilling', 'Liquido']"
"Garth Stevenson","['contrabass', 'new tribe']",51,"['Eskimotion', 'East Forest', 'Pete Kuzma']"
"Mariana Froes","['brasilia indie']",52,"['Leo Middea', 'ÀVUÀ', 'Julio Secchin']"
"PNL","['french hip hop', 'pop urbaine']",74,"['DTF', 'Jul', 'OBOY']"
"Bekar","['cloud rap francais', 'french hip hop']",61,"['Zamdane', 'Luv Resval', 'Moji x Sboy']"
"Caballero & JeanJass","['belgian hip hop', 'french hip hop']",50,"['Deen Burbigo', 'Caballero', 'Sneazzy']"
"Deen Burbigo","['french hip hop']",49,"['Caballero & JeanJass', 'Caballero', ""Limsa d'Aulnay""]"
"Disiz","['french hip hop', 'rap conscient']",58,"['Georgio', 'S-Crew', 'A2h']"
"Krisy","['belgian hip hop', 'french hip hop', 'rap belge', 'rap calme', 'rap conscient']",52,"['Myth Syzer', 'Zuukou mayzie', 'Moji x Sboy']"
"YG Pablo","['rap belge', 'rap calme']",54,"['Doums', 'Nahir', 'JEY BROWNIE']"
"Dan Kye","['indie jazz', 'indie soul', 'uk contemporary jazz']",42,"['Ben Hauke', 'Cody Currie', 'Another Chemical Love Story']"
"Lauv","['pop']",77,"[""Why Don't We"", 'Jeremy Zucker', 'MAX']"
"1da Banton","['afrobeats', 'nigerian pop']",59,"['L.A.X', 'Oxlade', 'Babyboy AV']"
"J Balvin","['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",88,"['Ozuna', 'Nicky Jam', 'Daddy Yankee']"
"Nemir","['french hip hop', 'rap calme']",56,"['A2h', 'Disiz', 'Myth Syzer']"
"Avicii","['dance pop', 'edm', 'pop', 'pop dance']",82,"['Martin Garrix', 'The Chainsmokers', 'Axwell /\\ Ingrosso']"
"Bill Withers","['classic soul', 'funk', 'quiet storm', 'soul']",75,"['Marvin Gaye', 'Otis Redding', 'Al Green']"
"Mama Aiuto","['chillhop']",44,"['Daphné', 'Makzo', 'Plusma']"
"Marcos Caixa","['lo-fi jazzhop']",40,"['Hans Hu$tle', 'Katashi Kaitō', 'Bobby Dreamz BIG']"
"Beyhude","['ethnotronica', 'organic electronic', 'organic house']",44,"['MoM', 'Rapossa', 'Iorie']"
"Claude François","['chanson', 'french pop', 'ye ye']",53,"['Michel Delpech', 'Michel Sardou', 'Eddy Mitchell']"
"Ella Henderson","['dance pop', 'pop dance', 'talent show', 'uk pop']",74,"['Becky Hill', 'Jax Jones', 'Nathan Dawe']"
"Jones Meadow","['chill beats']",50,"['Ran the Man', 'André Aguado', 'Far Orange']"
"Mariah Carey","['dance pop', 'pop', 'urban contemporary']",80,"['Alicia Keys', ""Destiny's Child"", 'USHER']"
"Jon Bellion","['indie pop rap']",67,"['Quinn XCII', 'lovelytheband', 'AJR']"
"Taylor Swift","['pop']",100,"['Olivia Rodrigo', 'Troye Sivan', 'Ariana Grande']"
"Saib","['chillhop', 'japanese chillhop', 'lo-fi beats']",54,"['Flughand', 'Jazzinuf', 'Jaeden Camstra']"
"Ambient Eclipse","['color noise', 'white noise']",48,"['Arx', 'Fortuna', 'Exodar']"
"Hovar","['white noise']",55,"['Klangspiel', 'Dozy Sounds', 'The Clear Mind']"
"yosev","['lo-fi jazzhop']",42,"['flowless', 'Kimmø', 'brass.beats']"
"The Rolling Stones","['album rock', 'british invasion', 'classic rock', 'rock']",80,"['The Who', 'Led Zeppelin', 'Creedence Clearwater Revival']"
"Smino","['alternative r&b']",68,"['Saba', 'Isaiah Rashad', 'Phoelix']"
"Burna Boy","['afrobeats', 'dancehall', 'nigerian hip hop', 'nigerian pop']",81,"['Omah Lay', 'Wizkid', 'Rema']"
"Jazzy James","['lo-fi jazzhop']",45,"['brass.beats', 'Myríad', 'RejSende']"
"Timbaland","['dance pop', 'pop', 'pop rap']",79,"['Nelly Furtado', 'Rihanna', 'Black Eyed Peas']"
"Lost Frequencies","['belgian edm', 'edm', 'pop dance', 'tropical house']",81,"['Felix Jaehn', 'Robin Schulz', 'Ofenbach']"
"Hoogway","['lo-fi beats', 'lo-fi study']",62,"['Kainbeats', 'Bcalm', 'Dontcry']"
"Beamer","['cloud rap', 'emo rap', 'lgbtq+ hip hop']",85,"['Lil Tracy', 'Nedarb', 'Horse Head']"
"Justin Bieber","['canadian pop', 'pop']",91,"['Shawn Mendes', 'Bruno Mars', 'Sam Smith']"
"Oslo","['lo-fi jazzhop']",38,"['Mathis', 'Wezley Wiz', 'Otis Neon']"
"Gale Moore","['background piano']",40,"['Chloe Doyle', 'Phileas Galle', 'Algot Brooke']"
"MF Eistee","['jazz boom bap', 'lo-fi jazzhop']",39,"['Kid Tarô', 'SP-Mato', 'mädmäx']"
