listener,trackID,msPlayed
Ambre,T0,201882
Ambre,T1,211066
Elwin,T1,382020
Elwin,T2,218690
Elwin,T3,372516
Fanny,T1,1477462
Fanny,T4,945008
Fanny,T5,212380
Fanny,T6,6219336
Fanny,T7,245001
Olivier,T1,211067
Ambre,T8,187670
Ambre,T9,597998
Ambre,T10,585242
Ambre,T11,739086
Ambre,T12,659005
Ambre,T13,740802
Ambre,T14,379869
Ambre,T15,182190
Ambre,T16,198973
Ambre,T17,217925
Ambre,T3681,217925
Ambre,T18,213741
Ambre,T19,695944
Arnaud,T20,324556
Arnaud,T18,210746
Fanny,T16,2804980
Fanny,T21,598629
Fanny,T22,210100
Olivier,T23,267067
Ambre,T24,248167
Ambre,T25,1572903
Fanny,T26,193200
Fanny,T25,2073188
Ambre,T27,708932
Ambre,T28,190120
Ambre,T29,636482
Ambre,T641,636482
Ambre,T30,250440
Ambre,T31,287636
Ambre,T32,437172
Ambre,T33,287600
Ambre,T34,235280
Ambre,T35,530400
Ambre,T36,256078
Ambre,T37,254947
Ambre,T42,254947
Ambre,T38,249560
Ambre,T39,230566
Ambre,T40,427390
Arnaud,T27,237103
Arnaud,T39,212586
Fanny,T41,618782
Fanny,T37,2040236
Fanny,T42,2040236
Olivier,T37,244655
Olivier,T42,244655
Ambre,T43,260379
Ambre,T44,199250
Ambre,T45,306320
Ambre,T46,392052
Ambre,T47,568591
Ambre,T48,1846406
Ambre,T49,733213
Ambre,T50,216226
Ambre,T51,1142065
Ambre,T52,213920
Ambre,T53,442506
Ambre,T54,671302
Ambre,T55,3251368
Ambre,T56,694417
Ambre,T57,468400
Ambre,T58,194748
Ambre,T59,1634011
Ambre,T60,376330
Ambre,T61,437522
Ambre,T62,237106
Ambre,T63,240906
Ambre,T64,1044730
Ambre,T65,238450
Ambre,T66,450825
Ambre,T67,767092
Ambre,T68,211413
Ambre,T82,211413
Ambre,T69,185106
Ambre,T70,233856
Ambre,T71,233186
Ambre,T72,226239
Ambre,T73,461958
Ambre,T74,1821333
Ambre,T75,271162
Ambre,T76,1040465
Ambre,T77,395565
Ambre,T78,248466
Ambre,T79,608079
Ambre,T80,303200
Arnaud,T68,211413
Arnaud,T82,211413
Arnaud,T75,516484
Arnaud,T78,767610
Fanny,T49,244320
Fanny,T81,659610
Olivier,T68,313349
Olivier,T82,313349
Olivier,T49,735980
Olivier,T83,244183
Olivier,T84,222946
Ambre,T85,225221
Ambre,T86,297451
Ambre,T87,195853
Arnaud,T86,1215062
Arnaud,T88,2421406
Arnaud,T89,2035629
Arnaud,T90,412722
Arnaud,T87,195853
Arnaud,T91,1540379
Elwin,T90,240448
Fanny,T89,368244
Fanny,T87,2043394
Olivier,T92,1400534
Olivier,T93,1474044
Ambre,T94,197898
Ambre,T95,519876
Ambre,T96,259785
Ambre,T97,295471
Ambre,T139,295471
Ambre,T98,487650
Ambre,T140,487650
Ambre,T99,242400
Ambre,T100,264324
Ambre,T101,310393
Ambre,T102,225000
Ambre,T103,209577
Ambre,T104,333461
Ambre,T105,222982
Ambre,T106,243187
