,endTime,artistName,trackName,msPlayed
0,2024-02-16 17:06,Kim Petras,Slut Pop Reprise,95211
1,2024-02-16 17:07,Kim Petras,Gag On It,99995
2,2024-02-16 17:08,Creed,Higher,2960
3,2024-02-16 17:08,Kim Petras,Fuckin’ This Fuckin’ That,23183
4,2024-02-16 17:29,Five Finger Death Punch,Bad Company,262440
5,2024-02-16 17:42,Alice In Chains,Nutshell,36070
6,2024-02-16 18:04,Aerosmith,Sweet Emotion,2170
7,2024-02-16 18:04,Elvis Presley,Hound Dog,1170
8,2024-02-16 18:04,AC/DC,You Shook Me All Night Long,13157
9,2024-02-16 18:04,The Goo Goo Dolls,Iris,404131
10,2024-02-16 18:04,AC/DC,Back In Black,840
11,2024-02-16 18:04,The Smashing Pumpkins,1979 - Remastered 2012,1100
12,2024-02-16 18:04,Steppenwolf,Magic Carpet Ride,830
13,2024-02-16 18:04,Linkin Park,What I've Done,1180
14,2024-02-16 18:04,Queen,Fat Bottomed Girls - 2011 Remaster,1410
15,2024-02-16 18:07,Linkin Park,What I've Done,205226
16,2024-02-16 18:08,Aerosmith,Sweet Emotion,10913
17,2024-02-16 20:32,Kim Petras,"1,2,3 dayz up",4120
18,2024-02-16 20:33,Kim Petras,Got My Number,57750
19,2024-02-16 20:40,Kim Petras,"1,2,3 dayz up",93830
20,2024-02-16 20:44,Paris Hilton,Stars Are Blind (Paris' Version) [feat. Kim Petras],2160
21,2024-02-16 20:44,Kim Petras,BAIT (with BANKS),1010
22,2024-02-16 20:44,Vintage Culture,You Give Me A Feeling,1240
23,2024-02-16 20:44,Kim Petras,Slut Pop Reprise,1170
24,2024-02-16 20:44,Nelly Furtado,Maneater,1500
25,2024-02-16 20:44,Peach PRC,Like A Girl Does,1140
26,2024-02-16 20:44,Kesha,Blah Blah Blah (feat. 3OH!3),2460
27,2024-02-16 20:44,Dua Lipa,Houdini,850
28,2024-02-16 20:44,Dua Lipa,Hallucinate,1220
29,2024-02-16 20:44,Kim Petras,Got My Number,1300
30,2024-02-16 20:44,Kim Petras,I Don't Want It At All,204400
31,2024-02-16 20:44,ELIO,Vitamins,900
32,2024-02-16 20:44,Dorian Electra,M'Lady,1130
33,2024-02-16 20:44,Hannah Diamond,Fade Away,1000
34,2024-02-16 20:44,Dorian Electra,Idolize,1130
35,2024-02-16 20:44,Kim Petras,Coconuts,2530
36,2024-02-16 20:44,cassö,Prada,830
37,2024-02-16 20:44,Charli xcx,Speed Drive (From Barbie The Album),1440
38,2024-02-16 20:44,Chappell Roan,Super Graphic Ultra Modern Girl,1500
39,2024-02-16 20:44,Charli xcx,Yuck,980
40,2024-02-16 20:44,Sam Smith,Unholy (feat. Kim Petras),1280
41,2024-02-16 20:47,Kim Petras,Got My Number,30430
42,2024-02-16 20:48,SHARKFISH,POGSTAR - Nightcore Version,4801
43,2024-02-16 20:48,Cake Pop,Whistle,3018
44,2024-02-16 20:48,estelle allen,dui,2526
45,2024-02-16 20:48,Sugar Pit,Customer Service,5090
46,2024-02-16 20:49,SHARKFISH,POGSTAR - Nightcore Version,69091
47,2024-02-16 20:51,tsubi club,burbank house,17087
48,2024-02-16 20:51,100 gecs,stupid horse,121681
49,2024-02-16 20:52,estelle allen,cellphone,24680
50,2024-02-16 20:53,estelle allen,girlfriend,94000
51,2024-02-16 20:54,monty.pk,prism,40130
52,2024-02-17 06:31,Green Day,Good Riddance (Time of Your Life),1000
53,2024-02-17 06:31,Puddle Of Mudd,She Hates Me,2030
54,2024-02-17 06:31,Elvis Presley,Jailhouse Rock,2980
55,2024-02-17 06:31,Five Finger Death Punch,Bad Company,950
56,2024-02-17 06:31,Joan Jett & the Blackhearts,I Love Rock 'N Roll,920
57,2024-02-17 06:31,The Romantics,Talking In Your Sleep (2023 Remaster),1230
58,2024-02-17 06:36,Bruce Springsteen,Born in the U.S.A.,278680
59,2024-02-17 06:39,Tom Petty and the Heartbreakers,Don't Do Me Like That,161786
60,2024-02-17 06:43,Eagles,Peaceful Easy Feeling - 2013 Remaster,257962
61,2024-02-17 06:48,Boston,Peace of Mind,303586
62,2024-02-17 06:53,Metallica,Master Of Puppets,291224
63,2024-02-17 06:57,Tom Petty,Love Is A Long Road,247600
64,2024-02-17 07:01,Mötley Crüe,"Girls, Girls, Girls",270533
65,2024-02-17 07:02,Stevie Nicks,Edge of Seventeen - 2016 Remaster,57046
66,2024-02-17 21:38,Testament,For the Glory of...,3050
67,2024-02-17 21:38,The Cure,Friday I'm In Love,185860
68,2024-02-17 21:39,Heart,Barracuda,87110
69,2024-02-17 21:39,Cake Pop,Ether,2140
70,2024-02-17 21:40,SHARKFISH,POGSTAR - Nightcore Version,69091
71,2024-02-17 21:43,100 gecs,Hollywood Baby,187693
72,2024-02-17 21:44,rouri404,driving with my eyes closed,62405
73,2024-02-17 21:48,100 gecs,757,126426
74,2024-02-17 22:14,Eric Church,Springsteen,420
75,2024-02-17 22:14,Cake Pop,Cake Happy,106803
76,2024-02-17 22:15,Keith Whitley,"Miami, My Amy",10230
77,2024-02-17 22:18,Mel McDaniel,Baby's Got Her Blue Jeans On,179653
78,2024-02-17 22:21,Zac Brown Band,Chicken Fried,223046
79,2024-02-17 22:22,Travis Tritt,It's A Great Day To Be Alive,1390
80,2024-02-17 22:22,Travis Tritt,It's A Great Day To Be Alive,5400
81,2024-02-17 22:22,John Anderson,Straight Tequila Night,1280
82,2024-02-17 22:22,Alabama,Mountain Music,30040
83,2024-02-17 22:22,Rascal Flatts,Fast Cars And Freedom,390
84,2024-02-17 22:22,Dolly Parton,Jolene,3800
85,2024-02-17 22:22,George Strait,The Fireman,1490
86,2024-02-17 22:22,George Strait,The Fireman,1190
87,2024-02-17 22:22,Rodney Atkins,Watching You,820
88,2024-02-17 22:24,The Chicks,Wide Open Spaces,116030
89,2024-02-18 22:08,Alan Jackson,Chasin' That Neon Rainbow,14650
90,2024-02-18 22:11,Rodney Atkins,Caught Up In The Country,160991
91,2024-02-18 22:17,Conway Twitty,"Louisiana Woman, Mississippi Man",39658
92,2024-02-18 22:18,Jerry Reed,East Bound and Down,40400
93,2024-02-18 22:19,Jimmy Buffett,Come Monday,1330
94,2024-02-18 22:19,Luke Combs,Fast Car,1380
95,2024-02-18 22:19,Willie Nelson,On the Road Again,1160
96,2024-02-18 22:19,Billy Currington,Good Directions,1970
97,2024-02-18 22:19,Alan Jackson,Chasin' That Neon Rainbow,59050
98,2024-02-18 22:24,Alan Jackson,Don't Rock the Jukebox,2160
99,2024-02-18 22:24,Alan Jackson,Chattahoochee,1220
100,2024-02-18 22:24,John Michael Montgomery,Sold (The Grundy County Auction Incident),1130
101,2024-02-18 22:24,Cody Johnson,Me and My Kind,1700
102,2024-02-18 22:24,Don Williams,Tulsa Time,120010
103,2024-02-18 22:24,estelle allen,cellphone,810
104,2024-02-18 22:24,Shenandoah,Two Dozen Roses,11020
105,2024-02-18 22:24,Jimmy Buffett,Cheeseburger In Paradise,1150
106,2024-02-18 22:25,SHARKFISH,POGSTAR - Nightcore Version,69091
107,2024-02-18 22:28,100 gecs,mememe,166013
108,2024-02-18 22:30,Fraxiom,scawy monstews and nice spwites :3,96705
109,2024-02-18 22:31,Yameii Online,yummy dummy *°:⋆ₓₒ╰(◡‿◡✿╰),43309
110,2024-02-19 08:46,estelle allen,dui,9544
111,2024-02-19 08:46,aldrch,watercolor puddles,119115
112,2024-02-19 08:51,estelle allen,girlfriend,94000
113,2024-02-19 08:52,estelle allen,cellphone,2000
114,2024-02-19 08:52,100 gecs,hand crushed by a mallet,21470
115,2024-02-19 08:53,Cake Pop,Whistle,73760
116,2024-02-19 08:54,Dylan Brady,Cum Stains,77663
117,2024-02-19 08:55,estelle allen,gum,52876
118,2024-02-19 08:55,Yameii Online,pls (−_−;),1810
119,2024-02-19 08:55,aldn,glittr,1610
120,2024-02-19 08:55,estelle allen,make believe,930
121,2024-02-19 08:57,Golemm,Untouchable,130068
122,2024-02-19 08:59,trndytrndy,minimal beat,107764
123,2024-02-19 09:01,estelle allen,coffee,127433
124,2024-02-19 09:02,saoirse dream,ritual,73384
125,2024-02-19 09:04,Sugar Pit,Customer Service,112857
126,2024-02-19 09:07,8485,1:15,130206
127,2024-02-19 11:39,Dylan Brady,I'll Make You Miss Me All The Time,140809
128,2024-02-19 11:40,Madge,notss,79274
129,2024-02-19 11:42,100 gecs,757,126426
130,2024-02-19 11:44,Internet Girl,dumb party,109536
131,2024-02-19 11:47,100 gecs,Hollywood Baby,187693
132,2024-02-19 11:50,cookii,party girl,150234
133,2024-02-19 11:52,100 gecs,Dumbest Girl Alive,137440
134,2024-02-19 11:53,estelle allen,sober,980
135,2024-02-19 11:53,100 gecs,Doritos & Fritos,1240
136,2024-02-19 11:53,Girls Rituals,La La La,1210
137,2024-02-19 11:53,Laura Les,Haunted,1130
138,2024-02-19 11:53,MIMIDEATH,abusive,1180
